Дата,Карьеры,Юридическое лицо,Наименование материала,Контакт,Цена,Ед.изм.,Насыпная плотность,Модуль крупности,Коэфициент фильтрации,Фракция,Марка прочности,Коэфициент морозостойкости,Геолокация,Транспорт,График
22.08.2025,Аленино,"ООО ""Фирма ММС""",Мытый песок,89166809518,"р.390,00",м3,"1,55","1,8",,-,-,-,"56.106931, 38.629356",Тонары + Одиночки,08-17 х 7
,Буяни,"ООО ""ГидроМехСервис""",Мытый песок,89067788518,"р.300,00",м3,"1,55","1,9",,-,-,-,"56.061952, 38.637596",Тонары + Одиночки,08-18 х 7
26.10.2024,Жуково,"ООО ""Алмаз""",Мытый песок,84959683745,"р.650,00",м3,"1,55","1,8",3,-,-,-,"55.508838, 38.025244",Одиночки,24 х 7
26.10.2024,Жуково,"ООО ""Алмаз""",Карьерный песок,84959683745,"р.650,00",м3,"1,5",2,3,-,-,-,"55.508838, 38.025244",Одиночки,24 х 7
23.10.2024,Октябрьский,"ООО ""Седрус""",Мытый песок,89035130688,"р.650,00",м3,"1,5","1,5",,-,-,-,"55.111284, 39.005193",Одиночки,08-16:30 х 5
17.04.2025,Сельниково,"ООО ""АгроПромНеруд""",Мытый песок,89859206466,"р.550,00",м3,"1,55","1,6","1,3",-,-,-,"55.133321, 39.157734",Тонары + Одиночки,08-18 х 7
,Озеры,"ООО ""Озеры-Неруд""",Мытый песок,89373155054,"р.650,00",м3,"1,55","1,5",,-,-,-,"54.882689, 38.606027",Одиночки,08-18 х 6
17.04.2025,Порт Коломна,"ООО ""ОМП""",мытый песок(нет),84966164039,"р.915,00",м3,"1,55",,,-,-,-,"55.075617, 38.888278",Одиночки,08-16:30 х 5
17.03.2025,Крутец,"ООО ""ТД КМФ""",Мытый песок,89607220275,"р.350,00",м3,"1,55","1,5",,-,-,-,"56.163804, 38.554115",Тонары + Одиночки,08-19:20 х 7
,Бисерово 2,"ООО ""Полигон механизации""",Мытый песок,89852227257,"р.450,00",м3,"1,7","2,1",,-,-,-,"55.785013, 38.123028",Одиночки,08-19 х 7
20.02.2025,Старая Купавна,"ООО ""СтройСигма""",Мытый песок,84951833626,"р.500,00",м3,"1,55",,,-,-,-,"55.789367, 38.207943",Тонары + Одиночки,24 х 7
28.04.2025,Осеево,"ООО ""ТОР2015""",Мытый песок,89057762438,"р.550,00",м3,"1,55","1,8",,-,-,-,"55.877038, 38.160045",Тонары + Одиночки,24 х 7
28.04.2025,Осеево,"ООО ""ТОР2015""",Карьерный песок,89057762438,"р.450,00",м3,"1,55",,,-,-,-,"55.877038, 38.160045",Тонары + Одиночки,24 х 7
,Васютино,"ООО ""Неруд-ЗТ""",Мытый песок,89067223050,"р.380,00",м3,"1,55",,,-,-,-,"55.877038, 38.160045",Одиночки,08-18 х 6
,Аксиньино,"ООО ""Проминвест""",Мытый песок,89775088860,"р.500,00",м3,"1,5",,"1,5",-,-,-,"56.023566, 38.230506",Тонары + Одиночки,24 х 7
,Аксиньино,"ООО ""Проминвест""",Карьерный песок,89775088860,"р.400,00",м3,"1,5",,"0,5",-,-,-,"56.023566, 38.230506",Тонары + Одиночки,24 х 7
,Михалевский,"ООО ""НедраПромСтрой""",,,,,,,,,,,,,
17.01.2025,Сказка,"ООО ""Стройконтракт""",карьерный песок,84967270395,"р.600,00",м3,"1,5",2,,-,-,-,"55.069925, 37.152163",Одиночки + Тонары,08-17*6
