дата,от куда,,вид транспорта,,погрузка,выгрузка,,расстояние,время на рейс под нагрузкой,кол-во рейсов факт,вес,ед измерения,кол-во рейсов расчетный,расход топлива на 100км,цена за литр,затраты на топливо,зп водителя на км,затраты на зп,затраты на зп день,норма прибыли,"други затраты на смену (платон, гаи, платная трасса)",тариф руб/куб(тн)*км расчет,тариф руб/куб(тн) расчет,проверка,тариф руб/куб(тн)*км факт,тариф руб/куб(тн) факт,прибыль факт,стоимость материала закуп,наценка,цена материала продажа,стоимость материала,стоимость машины с материалом расчет,стоимость машины с материалом факт,тариф с материалом расчет,тариф с материалом факт,доовор,фидель,наем,кп,кп,прибыль наем,,,,,,,,,,,,,,,,,,,,,,,
,богаевский,лайково,тонары,песок сеянный,приемка до 21,,адмирал,88,,3,28,,"3,409090909",45,55,4356,24,2112,6336,27000,2292,"6,6","579,7142857",27000,"4,715909091",415,13164,375,,"375,0","10500,0","26732,0","22120,0","954,7",790,,,,975,,,,,,,,,,,,,,,,,,,,,,,,,
,аксиньино,белялиново,тонар,песок,,,атлант,65,,4,32,,"4,615384615",45,55,"3217,5",26,1690,6760,20000,"1868,2","5,0","324,2046875",20000,"5,538461538",360,"24581,8",,,"0,0","0,0","10374,6","11520,0","324,2",360,360,,320,,,,,,,,,,,,,,,,,,,,,,,,,,
,Николаевка,Рахманово,тонар,Песок сеянный,24/7 дней,,Хоган,72,,3,30,,"4,166666667",50,57,4104,32,2304,6912,30000,"2055,12","7,9","569,768",30000,"8,194444444",590,"31820,88",90,,"90,0","2700,0","19793,0","20400,0","659,8",680,680,,500,,,0,,,,,,,,,,,,,,,,,,,,,,,
,осеево,коломенская 3,тонар,песок,24/7 дней,,лидерстрой,58,,4,30,,"5,172413793",45,55,2871,28,1624,6496,30000,"1796,24","7,2","414,802",30000,"6,551724138",380,"25823,76",,,"0,0","0,0","12444,1","11400,0","414,8",380,420,,,,,4800,,,,,,,,,,,,,,,,,,,,,,,
,Шумское,Гжель,тонар,песок,"Пн-Сб 08-20 кф 1,35",,Византия,132,,2,37,,"2,272727273",55,55,7986,28,3696,7392,30000,"1478,48","5,6","741,1145946",30000,"5,681818182",750,"30657,52",,,"0,0","0,0","27421,2","27750,0","741,1",750,420,,,,,-24420,,,,,,,,,,,,,,,,,,,,,,,
,бронницы,домодедово,тонар,щпс,с 6:30 до 20,,Адмирал,55,,4,50,,"5,454545455",55,55,"3327,5",37,2035,8140,30000,"2165,4","4,9","268,077",30000,"4,3","236,5","23684,6",,,"0,0","0,0","13403,9","11825,0","268,1","236,5",,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Кашино,М12 (Люберцы),тонар,песок,24/7,,Уралмехкомплект,28,,6,32,,"10,71428571",55,55,1694,45,1260,7560,30000,"2231,76","9,3","260,18625",30000,"8,392857143",235,"25164,24",,,"0,0","0,0","8326,0","7520,0","260,2",235,,56,235,,,,,,,,,,,,,,,,,,,,,,,,,,
,РГОК,Юрлово,тонар,сырой песок,приемка 24,,ТПК ЗЛСМ,235,,1,35,,"1,276595745",55,55,"14217,5",30,7050,7050,30000,"903,95","6,3","1490,612857",30000,"3,319148936",780,"5128,55",,,"0,0","0,0","52171,5","27300,0","1490,6",780,835,56,800,,,1225,,,, ,,,,,,,,,,,,,,,,,,,
,Николаевка,Щелково,тонар,песок,8-20,,МВК,100,,3,45,,3,53,55,5830,25,2500,7500,30000,1671,"4,2","419,7111111",30000,"3,5",350,20589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Есино,Фосфоритный,тонар,песок,24,,ТПК ЗЛСМ,90,,3,46,,"3,333333333",45,62,5022,27,2430,7290,30000,2620,"4,4","398,3768116",30000,"4,388888889",395,29534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Сопово,Фосфоритный,тонар,песок,погрузка 6-18,,ТПК ЗЛСМ,108,,2,30,,"2,777777778",45,62,"6026,4",27,2916,5832,30000,2296,"7,7","836,3466667",30000,"6,018518519",650,"18819,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Аксиньино,Тарасовка,тонар,песок,24,,ВИС,40,,4,32,,"7,5",50,55,2200,0,0,0,30000,"1211,2","7,8","312,5875",30000,"7,125",285,"26468,8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Мякишево,Тарасовка,тонар,песок,24,,ВИС,88,,4,31,,"3,409090909",50,55,4840,24,2112,8448,20000,"1304,64","4,5","396,0696774",20000,"5,113636364",450,"26687,36",180,,"180,0","5580,0","17858,2","19530,0","576,1",630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
